inci_name,cas_no,function,substance
UNDARIA PETERSENIANA EXTRACT,,skin-conditioning,undaria peterseniana extract
OCTYLDODECYL ETHYLHEXANOATE,69275-04-3,emollient,2-Octyldodecyl 2-ethylhexanoate
EUSTOMA GRANDIFLORUM EXTRACT,,antioxidant; skin-conditioning,eustoma grandiflorum extract
COLEUS FORSKOHLII FLOWER EXTRACT,,skin-conditioning,coleus forskohlii flower extract
ARALIA ELATA ROOT EXTRACT,,skin-conditioning,aralia elata root extract
OLIGOPEPTIDE-48,,skin-conditioning,oligopeptide-48
STEARAMIDE AMP,36284-86-3,foam-boosting; viscosity-controlling,Stearamide AMP
ACETYL HEXAPEPTIDE-38,,skin-conditioning,acetyl hexapeptide-38
KLUYVEROMYCES/LACTOBACILLUS/LACTOCOCCUS/LEUCONOSTOC/SACCHAROMYCES/HYDROLYZED HIBISCUS ESCULENTUS SEED EXTRACT FERMENT FILTRATE,,skin-conditioning,kluyveromyces/lactobacillus/lactococcus/leuconostoc/saccharomyces/hydrolyzed hibiscus esculentus seed extract ferment filtrate
OCTAPEPTIDE-21 AMIDE,,skin-conditioning,octapeptide-21 amide
DIISOCETYL ADIPATE,57533-90-1 / 58262-41-2 / 59686-69-0,emollient; plasticiser; skin-conditioning; solvent,diisocetyl adipate
ASCOPHYLLUM NODOSUM POWDER,84775-78-0,skin-conditioning,ascophyllum nodosum powder
PUERARIA MONTANA ROOT EXTRACT,,skin-conditioning,pueraria montana root extract
TILIA CORDATA FLOWER WATER,84929-52-2,masking; skin-conditioning; tonic,tilia cordata flower water
C12-14 SEC-PARETH-12,,emulsifying; emulsion-stabilising; surfactant,c12-14 sec-pareth-12
SACCHAROMYCES/SILICON FERMENT,,skin-conditioning,saccharomyces/silicon ferment
AMMONIUM SHELLACATE,68308-35-0,emulsifying; emulsion-stabilising,ammonium shellacate
POLYGLYCERYL-4 SWEET ALMONDATE,,emulsifying; skin-conditioning,polyglyceryl-4 sweet almondate
DAIDZEIN,486-66-8,skin-conditioning,Daidzein
STEARYL METHACRYLATE/PERFLUOROOCTYLETHYL METHACRYLATE COPOLYMER,,film-forming; viscosity-controlling,stearyl methacrylate/perfluorooctylethyl methacrylate copolymer
HYDROXYPROPYL DIMETHICONE ISOSTEARATE,,emollient,hydroxypropyl dimethicone isostearate
TROMETHAMINE ACRYLATES/ACRYLONITROGENS COPOLYMER,,film-forming; viscosity-controlling,tromethamine acrylates/acrylonitrogens copolymer
C18-36 ACID GLYCOL ESTER,94944-95-3,emollient; emulsifying; skin-conditioning; surfactant,c18-36 acid glycol ester
PRUNUS SERRULATA LEAF CELL EXTRACT,,masking; skin-conditioning,prunus serrulata leaf cell extract
PALMITOYL HYALURONATE,,emollient,palmitoyl hyaluronate
RICINOLEOYL EPOXY RESIN,,film-forming,ricinoleoyl epoxy resin
BIPHENYL AZEPANYL METHANONE,1910069-14-5,skin-conditioning; skin-protecting,biphenyl azepanyl methanone
ARGANIA SPINOSA KERNEL EXTRACT,223747-87-3,skin-conditioning,argania spinosa kernel extract
MENYANTHES TRIFOLIATA LEAF EXTRACT,84082-63-3,skin-conditioning,menyanthes trifoliata leaf extract
SCYLLII PELLIS EXTRACT,225234-43-5,skin-conditioning,scyllii pellis extract
ASCORBYL NICOTINATE,81489-64-7,humectant; skin-conditioning,Ascorbyl nicotinate
METHYLSULFONYLPIPERIDINYLAMINO DIOXOTHIOMORPHOLINOMETHYL PHENYLINDOLE,1120333-38-1,antioxidant; reducing; skin-protecting,"5-[(1,1-dioxo-1,4-thiazinan-4-yl)methyl]-N-(1-methylsulfonylpiperidin-4-yl)-2-phenyl-1H-indol-7-amine"
VITIS LABRUSCA VINE SAP,,humectant; skin-conditioning,vitis labrusca vine sap
BRASSICA OLERACEA CAPITATA (CABBAGE) LEAF WATER,,skin-conditioning,brassica oleracea capitata (cabbage) leaf water
SH-POLYPEPTIDE-98 HEXAPEPTIDE-40,,humectant; skin-conditioning,sh-polypeptide-98 hexapeptide-40
POLYMETHACRYLOYL LYSINE,,skin-conditioning,polymethacryloyl lysine
PENTAERYTHRITYL TETRABENZOATE,,emollient,pentaerythrityl tetrabenzoate
RESVERATRYL ACETATE,411233-11-9,antioxidant; emollient; skin-conditioning,Resveratryl acetate
HYDROXYLATED LECITHIN,8029-76-3,emulsifying; skin-conditioning; surfactant,hydroxylated lecithin
LACTOBACILLUS/SOYBEAN EXTRACT FERMENT FILTRATE,,skin-conditioning,lactobacillus/soybean extract ferment filtrate
ETHYL CANOLATE,85049-35-0,skin-conditioning,ethyl canolate
HYDROGENATED TALLOW ACID,61790-38-3,cleansing; emollient; emulsifying; opacifying; surfactant,hydrogenated tallow acid
POLYGONATUM ODORATUM RHIZOME POWDER,,skin-conditioning,polygonatum odoratum rhizome powder
TROLOXOYL DECAPEPTIDE-18,,skin-conditioning,troloxoyl decapeptide-18
CEDRUS DEODARA WOOD EXTRACT,91771-47-0,skin-conditioning,cedrus deodara wood extract
SODIUM ACRYLOYLDIMETHYLTAURATE/VP CROSSPOLYMER,,emulsion-stabilising,sodium acryloyldimethyltaurate/vp crosspolymer
CASTANEA CRENATA CUPULE EXTRACT,,antioxidant; emollient; skin-conditioning; skin-protecting,castanea crenata cupule extract
BIS-CAPRYLOYLOXYPALMITAMIDO ISOPROPANOL,1883454-19-0,emollient; skin-conditioning; skin-protecting,bis-capryloyloxypalmitamido isopropanol
PEG-15 GLYCERYL TRIOLEATE,68958-64-5,emollient; emulsifying,"1-[2,3-Bis(2-oxopropoxy)propoxy]propan-2-one"
3-ASCORBYL CARBONYL DIPEPTIDE-17,,skin-conditioning,3-ascorbyl carbonyl dipeptide-17
SCHINZIOPHYTON RAUTANENII KERNEL OIL,,emollient,schinziophyton rautanenii kernel oil
TETRACARBOXYMETHYL PALMITOYL DIPEPTIDE-12,1894171-14-2,skin-conditioning,tetracarboxymethyl palmitoyl dipeptide-12
METHOXY PEG-100,9004-74-4,humectant; solvent,2-Methoxyethanol
TRIPEPTIDE-62,,antioxidant; antiplaque; oral-care; skin-protecting,tripeptide-62
CENTIPEDA CUNNINGHAMII LEAF/STEM EXTRACT,,antioxidant; antiseborrhoeic; skin-protecting,centipeda cunninghamii leaf/stem extract
HYDROGEN DIPHENYL DIMETHICONE,68037-60-5,binding; emulsion-stabilising; plasticiser,hydrogen diphenyl dimethicone
BIS-HYDROXYLAURYL DIMETHICONE/IPDI COPOLYMER,,binding; film-forming; humectant; skin-conditioning; viscosity-controlling,bis-hydroxylauryl dimethicone/ipdi copolymer
