inci_name,cas_no,function
OLEA EUROPAEA SEED POWDER,8001-25-0,en:abrasive
SODIUM PCA METHYLSILANOL,99035-50-4,"en:humectant, en:skin-conditioning"
MEDICAGO SATIVA OIL UNSAPONIFIABLES,224557-89-5 / 84082-36-0,en:skin-conditioning
Root extracts,,
2-UNDECENOL,37617-03-1,en:perfuming
LUPINUS TEXENSIS SEED EXTRACT,,"en:hair-conditioning, en:nail-conditioning, en:skin-conditioning, en:viscosity-controlling"
UNDARIA PETERSENIANA EXTRACT,,en:skin-conditioning
OCTYLDODECYL ETHYLHEXANOATE,69275-04-3,en:emollient
COCOYL HYDROXYETHYLIMIDAZOLINIUM PG-CHLORIDE PHOSPHATE,,"en:antistatic, en:hair-conditioning"
PPG-10 LAURYL ETHER,9064-14-6,
EUSTOMA GRANDIFLORUM EXTRACT,,"en:antioxidant, en:skin-conditioning"
2‚4-DIMETHYL-4‚4A,27606-09-3,en:perfuming
COLEUS FORSKOHLII FLOWER EXTRACT,,en:skin-conditioning
ARALIA ELATA ROOT EXTRACT,,en:skin-conditioning
DEER ANTLER CELL/SH-POLYPEPTIDE-1 CONDITIONED MEDIA,,"en:hair-conditioning, en:skin-conditioning"
OLIGOPEPTIDE-48,,en:skin-conditioning
SODIUM BUTYL ESTER OF PVM/MA COPOLYMER,,"en:binding, en:film-forming, en:hair-fixing"
SILICON CARBIDE,409-21-2,en:abrasive
STEARAMIDE AMP,36284-86-3,"en:foam-boosting, en:viscosity-controlling"
MEROXAPOL 312,9003-11-6,"en:emulsifying, en:surfactant"
ACETYL HEXAPEPTIDE-38,,en:skin-conditioning
KLUYVEROMYCES/LACTOBACILLUS/LACTOCOCCUS/LEUCONOSTOC/SACCHAROMYCES/HYDROLYZED HIBISCUS ESCULENTUS SEED EXTRACT FERMENT FILTRATE,,en:skin-conditioning
OCTAPEPTIDE-21 AMIDE,,en:skin-conditioning
PINUS NIGRA TWIG LEAF OIL,90082-74-9,en:perfuming
DIISOCETYL ADIPATE,57533-90-1 / 58262-41-2 / 59686-69-0,"en:emollient, en:plasticiser, en:skin-conditioning, en:solvent"
ASCOPHYLLUM NODOSUM POWDER,84775-78-0,en:skin-conditioning
LAURYL GLUCOSIDE,110615-47-9,"en:cleansing, en:surfactant"
PUERARIA MONTANA ROOT EXTRACT,,en:skin-conditioning
TILIA CORDATA FLOWER WATER,84929-52-2,"en:masking, en:skin-conditioning, en:tonic"
C12-14 SEC-PARETH-12,,"en:emulsifying, en:emulsion-stabilising, en:surfactant"
LECITHINAMIDE DEA,91053-51-9,"en:antistatic, en:foam-boosting, en:hair-conditioning, en:viscosity-controlling"
SACCHAROMYCES/SILICON FERMENT,,en:skin-conditioning
AMMONIUM SHELLACATE,68308-35-0,"en:emulsifying, en:emulsion-stabilising"
PEG/PPG-22/25 COPOLYMER,,"en:cleansing, en:solvent, en:surfactant"
POLYGLYCERYL-4 SWEET ALMONDATE,,"en:emulsifying, en:skin-conditioning"
OCTYLDODECETH-5,32128-65-7,en:emulsifying
KAZACHSTANIA/CORNUS OFFICINALIS FRUIT EXTRACT FERMENT FILTRATE,,"en:bleaching, en:emollient, en:skin-conditioning"
DAIDZEIN,486-66-8,en:skin-conditioning
SODIUM TAURINE COCOYL METHYLTAURATE,,"en:cleansing, en:emulsifying, en:surfactant"
STEARYL METHACRYLATE/PERFLUOROOCTYLETHYL METHACRYLATE COPOLYMER,,"en:film-forming, en:viscosity-controlling"
HYDROXYPROPYL DIMETHICONE ISOSTEARATE,,en:emollient
TROMETHAMINE ACRYLATES/ACRYLONITROGENS COPOLYMER,,"en:film-forming, en:viscosity-controlling"
SACCHAROMYCES/SEA SALT FERMENT,,en:not-reported
C18-36 ACID GLYCOL ESTER,94944-95-3,"en:emollient, en:emulsifying, en:skin-conditioning, en:surfactant"
PRUNUS SERRULATA LEAF CELL EXTRACT,,"en:masking, en:skin-conditioning"
PALMITOYL HYALURONATE,,en:emollient
RICINOLEOYL EPOXY RESIN,,en:film-forming
BIPHENYL AZEPANYL METHANONE,1910069-14-5,"en:skin-conditioning, en:skin-protecting"
BENZYL SALICYLATE,118-58-1,"en:perfuming, en:uv-absorber"
ARGANIA SPINOSA KERNEL EXTRACT,223747-87-3,en:skin-conditioning
PEG-20 HEXADECENYLSUCCINATE,178254-04-1,en:emulsifying
DALBERGIA LATIFOLIA WOOD EXTRACT,,"en:hair-conditioning, en:skin-conditioning"
MENYANTHES TRIFOLIATA LEAF EXTRACT,84082-63-3,en:skin-conditioning
ISOBUTYL TIGLATE,61692-84-0,en:perfuming
LYSINE ASPARTATE,27348-32-9,"en:hair-conditioning, en:skin-conditioning"
SCYLLII PELLIS EXTRACT,225234-43-5,en:skin-conditioning
ASCORBYL NICOTINATE,81489-64-7,"en:humectant, en:skin-conditioning"
DICYCLOPENTADIENE/T-BUTYLCRESOL COPOLYMER,220997-66-0,en:antioxidant
METHYLSULFONYLPIPERIDINYLAMINO DIOXOTHIOMORPHOLINOMETHYL PHENYLINDOLE,1120333-38-1,"en:antioxidant, en:reducing, en:skin-protecting"
COCOYL HYDROLYZED KERATIN,,"en:antistatic, en:cleansing, en:hair-conditioning, en:skin-conditioning, en:surfactant"
PENTAMETHYLCYCLOPENT-3-ENE-BUTANOL,65113-99-7,en:perfuming
GLYCERYL LAURYL ETHER,,"en:emulsifying, en:surfactant"
GLYCOL DIMETHACRYLATE,97-90-5,en:nail-conditioning
ARTEMISIA DRACUNCULUS LEAF/STEM EXTRACT,90131-45-6,en:masking
BUTYL GLUCOSIDE,5391-18-4 / 41444-57-9,"en:cleansing, en:surfactant"
VITIS LABRUSCA VINE SAP,,"en:humectant, en:skin-conditioning"
2-DIMETHYLBICYCLOHEPT-2-YLIDENE ETHANOL,2226-05-3,en:perfuming
4-METHYL-1-OXASPIROUNDECENE,68228-06-8,en:perfuming
MALVA SYLVESTRIS CALLUS EXTRACT,,"en:antimicrobial, en:antioxidant, en:hair-conditioning, en:humectant, en:skin-conditioning, en:skin-protecting"
PEG-2 OLEATE,106-12-7,en:emulsifying
BRASSICA OLERACEA CAPITATA (CABBAGE) LEAF WATER,,en:skin-conditioning
SH-POLYPEPTIDE-98 HEXAPEPTIDE-40,,"en:humectant, en:skin-conditioning"
POLYMETHACRYLOYL LYSINE,,en:skin-conditioning
PENTAERYTHRITYL TETRABENZOATE,,en:emollient
RESVERATRYL ACETATE,411233-11-9,"en:antioxidant, en:emollient, en:skin-conditioning"
CI 15800,6371-76-2,en:cosmetic-colorant
HYDROXYLATED LECITHIN,8029-76-3,"en:emulsifying, en:skin-conditioning, en:surfactant"
PINUS HALEPENSIS NEEDLE EXTRACT,,"en:antimicrobial, en:antioxidant, en:antiseborrhoeic"
LACTOBACILLUS/SOYBEAN EXTRACT FERMENT FILTRATE,,en:skin-conditioning
TEA-DODECYLBENZENESULFONATE,27323-41-7 / 68411-31-4,"en:cleansing, en:foaming, en:surfactant"
ETHYL CANOLATE,85049-35-0,en:skin-conditioning
IRESINE WEBERBAUERI FLOWER EXTRACT,,en:hair-conditioning
HYDROGENATED TALLOW ACID,61790-38-3,"en:cleansing, en:emollient, en:emulsifying, en:opacifying, en:surfactant"
DIHYDROGENATED TALLOWAMIDOETHYL HYDROXYETHYLMONIUM METHOSULFATE,68953-59-3,"en:antistatic, en:hair-conditioning"
POLYGONATUM ODORATUM RHIZOME POWDER,,en:skin-conditioning
TROLOXOYL DECAPEPTIDE-18,,en:skin-conditioning
CEDRUS DEODARA WOOD EXTRACT,91771-47-0,en:skin-conditioning
BETAPHYCUS GELATINUM EXTRACT,,en:bleaching
SCHINZIOPHYTON RAUTANENII KERNEL POWDER,,en:abrasive
SODIUM ACRYLOYLDIMETHYLTAURATE/VP CROSSPOLYMER,,en:emulsion-stabilising
CETEARETH-10 PHOSPHATE,106233-09-4,"en:cleansing, en:surfactant"
