inci_name,cas_no,function
CHOLETH-24,27321-96-6,"en:emulsifying, en:surfactant"
DISPORUM SESSILE LEAF EXTRACT,,"en:antioxidant, en:skin-protecting"
PEG-135/VA/VINYL CAPROLACTAM COPOLYMER,,en:surfactant
PEG/PPG-17/18 DIMETHICONE,,en:emulsifying
HYDROXYPROPYLTRIMONIUM HYDROLYZED WHEAT PROTEIN/SILOXYSILICATE,,"en:antistatic, en:hair-conditioning"
ISOLAURYL BEHENATE,,"en:emollient, en:skin-conditioning"
METHYLSALICYLATYL GLYCYRRHETINATE,1417626-01-7,en:skin-conditioning
HESPERIS SIBIRICA FLOWER/LEAF/STEM EXTRACT,,"en:hair-conditioning, en:humectant, en:skin-conditioning"
PRATIA BEGONIFOLIA EXTRACT,,en:skin-conditioning
TETRAHYDRO-METHYL-METHYLPROPENYL-PYRAN,4610-11-1,en:perfuming
PALMITOYL HYDROLYZED MILK PROTEIN,,"en:antistatic, en:cleansing"
CHANTHARELLUS CIBARIUS EXTRACT,,en:skin-conditioning
SODIUM METASILICATE,6834-92-0,"en:anticorrosive, en:buffering, en:chelating"
PPG-2 C9-11 PARETH-8,,"en:cleansing, en:emulsifying"
ETHYLHEXYL CAPRYLATE/CAPRATE,,"en:emollient, en:skin-conditioning"
NEPHRITE POWDER,12174-03-7,"en:abrasive, en:anticaking, en:bulking"
ACETYL DIPEPTIDE-32 AMIDE,,en:skin-conditioning
LAUROYL PG-TRIMONIUM CHLORIDE,53171-04-3,"en:antistatic, en:hair-conditioning"
POLYGLYCERYL-10 PALMATE,,"en:emulsifying, en:skin-conditioning"
SYNTHETIC RUBY POWDER,,"en:abrasive, en:skin-conditioning, en:uv-absorber"
SODIUM CAPROYL/LAUROYL LACTYLATE,13557-74-9/13557-75-0,"en:antidandruff, en:antimicrobial, en:cleansing, en:emulsifying, en:surfactant"
BIS-VINYLDIMETHICONE CROSSPOLYMER,,"en:emollient, en:skin-conditioning"
ARTEMISIA CAPILLARIS LEAF EXTRACT,223747-93-1,en:skin-conditioning
POTASSIUM AZELOYL DIGLYCINATE,,en:skin-conditioning
ETHYLENE DILINOLEAMIDE,,en:viscosity-controlling
PYRUS MALUS FLOWER WATER,,"en:emollient, en:skin-conditioning"
TRICAPRYLIN,538-23-8,"en:masking, en:perfuming, en:skin-conditioning"
PALMITOYL GOLD OF PLEASURE AMINO ACIDS,,"en:emollient, en:hair-conditioning, en:skin-conditioning"
CITRUS AURANTIUM DULCIS FLOWER CERA,,en:skin-conditioning
C30-50 PARETH-10,246538-85-2,"en:emulsifying, en:surfactant"
EUCALYPTUS PARVULA LEAF WATER,,"en:astringent, en:deodorant, en:flavouring"
POTASSIUM SORBATE,24634-61-5 / 590-00-1,en:preservative
ASPALATHUS LINEARIS LEAF/STALK EXTRACT,,en:skin-conditioning
HEMA GLUCOSIDE/ETHYLMETHACRYLATE TRIMONIUM CHLORIDE COPOLYMER,,"en:antistatic, en:hair-conditioning"
PYRIDOXAL 5-PHOSPHATE,54-47-7,en:skin-conditioning
SODIUM PEANUTATE,61789-57-9,"en:cleansing, en:emulsifying, en:surfactant, en:viscosity-controlling"
CAFFEOYL HEXAPEPTIDE-50,,"en:antioxidant, en:chelating, en:skin-protecting, en:uv-filter"
PHOSPHORIC ACID,7664-38-2,en:buffering
POLOXAMINE 504,11111-34-5,en:emulsifying
TETRAHYDRO-METHYL-METHYLENE-PHENYL-PYRAN,30310-41-9,en:perfuming
GLYCINE MAX CALLUS CULTURE,,"en:antioxidant, en:humectant, en:skin-conditioning, en:skin-protecting"
SODIUM LAURYL SULFOACETATE,1847-58-1,"en:cleansing, en:foaming, en:surfactant"
CETYL PCA,37673-20-4,en:skin-conditioning
3-ETHYL-2‚5-DIMETHYLPYRAZINE,13360-65-1,en:perfuming
CITRUS PARADISI PEEL EXTRACT,8016-20-4,"en:perfuming, en:skin-conditioning"
CORYLUS ROSTRATA TWIG EXTRACT,,"en:antioxidant, en:skin-conditioning"
COMMIPHORA MYRRHA GUM OIL,84929-26-0,en:perfuming
HEDERA HELIX STEM EXTRACT,84082-54-2,"en:antidandruff, en:hair-conditioning"
OCTADECENE/MA COPOLYMER,25266-02-8,"en:stabilising, en:viscosity-controlling"
PEG-20 OLEAMINE,26635-93-8,"en:antistatic, en:emulsifying"
LEVISTICUM OFFICINALE LEAF OIL,84837-06-9,en:perfuming
POLYMNIA SONCHIFOLIA ROOT JUICE,,en:skin-conditioning
C18-20 GLYCOL ISOSTEARATE,247169-05-7,"en:emollient, en:emulsifying, en:skin-conditioning"
HEXYLRESORCINOL,136-77-6,en:antimicrobial
LAUROYL ETHYLTRIMONIUM METHOSULFATE,851385-89-2,"en:cleansing, en:surfactant"
TRANS-DIMETHYLBICYCLOHEPT-2-YLIDENE-ETHYL ACETATE,58437-69-7,en:perfuming
FOMES OFFICINALIS EXTRACT,94465-74-4,en:skin-protecting
THYMUS VULGARIS FLOWER/LEAF/STEM EXTRACT,84929-51-1,en:skin-conditioning
SODIUM COCOYL COLLAGEN AMINO ACIDS,,"en:antistatic, en:hair-conditioning, en:surfactant"
SACCHAROMYCES/LICORICE ROOT EXTRACT/RICE FERMENT EXTRACT FILTRATE,,"en:antioxidant, en:humectant, en:skin-conditioning"
PEG-20 GLYCERYL RICINOLEATE,51142-51-9,"en:emulsifying, en:surfactant"
MYRISTOYL HYDROLYZED COLLAGEN,72319-06-3,"en:antistatic, en:cleansing, en:emollient, en:hair-conditioning, en:skin-conditioning, en:surfactant"
COCAMIDOPROPYL ETHYLDIMONIUM ETHOSULFATE,,"en:antistatic, en:hair-conditioning"
PEG-20 DILAURATE,9005-02-1,en:emulsifying
TRIOCTYLDODECYL CITRATE,126121-35-5,"en:emollient, en:skin-conditioning"
LIMONIA ACIDISSIMA BARK EXTRACT,,"en:skin-protecting, en:uv-absorber"
CUPRIC ACETATE,142-71-2,en:skin-conditioning
SODIUM GLUCONATE,527-07-1 / 14906-97-9,"en:chelating, en:skin-conditioning"
RICE FERMENT FILTRATE,,en:skin-conditioning
ETHANEPEROXOIC ACID/ALUMINUM ISOPROXIDE/TRIMETHYL-CYCLODODECATRIENE,111850-00-1,en:perfuming
CAFFEINE SALICYLATE,5743-22-6,en:skin-conditioning
BUTYL HYDROXYCYCLOHEXANE CARBOXYLATE,1384257-92-4,en:skin-conditioning
PALMITOYL TRIPEPTIDE-40,,en:skin-conditioning
SANTALUM ALBUM WOOD OIL,84787-70-2,en:perfuming
LIGNINASE,,en:humectant
PEG-8 PPG-8 DIMETHICONE,,"en:emulsifying, en:surfactant"
METHYL PERFLUORO BUTYL/ISOBUTYL ETHER,163702-07-6,"en:butane, en:1, en:, en:1, en:, en:1, en:, en:2, en:, en:2, en:, en:3, en:, en:3, en:, en:4, en:, en:4-nonafluoro-4-methoxy-, en:, en:propane, en:2--difluoromethoxymethyl--1, en:, en:1, en:, en:1, en:, en:2, en:, en:3, en:, en:3, en:, en:3-heptafluoro-"
AUREOBASIDIUM PULLULANS/CITRUS UNSHIU FRUIT EXTRACT FERMENT FILTRATE,,en:skin-conditioning
LACTOBACILLUS/SACCHAROMYCES/ASTRAGALUS MEMBRANACEUS ROOT EXTRACT FERMENT FILTRATE,,"en:skin-conditioning, en:skin-protecting"
POTASSIUM CARBOMER,,"en:emulsion-stabilising, en:film-forming, en:viscosity-controlling"
CALYSTEGIA SEPIUM EXTRACT,,en:antioxidant
POLYURETHANE-36,,en:film-forming
RHUS CORIARIA LEAF/STEM EXTRACT,91770-58-0,en:antioxidant
POTASSIUM TOLUENESULFONATE,16106-44-8,"en:hydrotrope, en:surfactant"
CETEARETH-29,68439-49-6,"en:cleansing, en:emulsifying, en:surfactant"
CINNAMOMUM CAMPHORA GUM EXTRACT,92201-50-8 / 8022-91-1 / 8008-51-3,"en:astringent, en:skin-conditioning"
CORYLUS AVELLANA FLOWER EXTRACT,84012-21-5,en:skin-conditioning
THIOXANTHINE,261-31-4,"en:antioxidant, en:hair-conditioning"
OLIGOPEPTIDE-127,,en:skin-conditioning
PPG-50 CETYL ETHER,9035-85-2,en:skin-conditioning
C12-15 PARETH-2,68131-39-5,"en:emulsifying, en:surfactant"
ACRYLIC ACID/ISOBUTYL ACRYLATE/ISOBORNYL ACRYLATE COPOLYMER,,en:film-forming
OLEALKONIUM CHLORIDE,37139-99-4,en:hair-conditioning
POTASSIUM CHLORIDE,7447-40-7,en:viscosity-controlling
DISODIUM COCETH-3 SULFOSUCCINATE,,"en:cleansing, en:emulsifying, en:surfactant"
CAMEL MILK,,"en:humectant, en:skin-conditioning"
CYCLOHYDROXYPROLYL SERINE,211868-63-2,"en:emollient, en:humectant, en:skin-conditioning"
ETHYLENE DODECANEDIOATE,54982-83-1,"en:masking, en:perfuming"
ALPINIA FORMOSANA SEED WATER,,"en:emollient, en:skin-conditioning"
PEG-100/IPDI COPOLYMER,39318-45-1,"en:binding, en:emulsion-stabilising, en:viscosity-controlling"
TRIMETHYLBICYCLO-3-HEPTYLACRYLONITRILE,68804-00-2,en:perfuming
DNA,9007-49-2,en:skin-conditioning
SODIUM STEAROYL OAT PROTEIN,226994-40-7,"en:cleansing, en:hair-conditioning, en:skin-conditioning, en:surfactant"
HYDROLYZED HORSE FAT EXTRACT,,"en:emollient, en:hair-conditioning, en:skin-conditioning, en:skin-protecting"
LUFFA CYLINDRICA FRUIT/DAUCUS CAROTA SATIVA ROOT/CUCUMIS SATIVUS FRUIT EXTRACT,1242417-48-6,en:skin-conditioning
AMP-ACRYLATES/ETHYLHEXYL ACRYLATE COPOLYMER,,en:film-forming
METHYL DIMETHYLBICYCLOHEPTANE-CARBOXYLATE,52557-97-8,en:perfuming
LAURYL ACRYLATE,2156-97-0,
ROSA RUBIGINOSA SEED OIL PEG-8 ESTERS,,"en:emollient, en:emulsifying, en:surfactant"
ALCOHOL DENAT. SD ALCOHOL 38-F,,en:solvent
SHEA BUTTER DECYL ESTERS,,en:skin-conditioning
6-ETHYL-3-METHYLOCT-5-ENOL,26330-64-3,en:perfuming
MAGNESIUM LAURETH SULFATE,62755-21-9,"en:cleansing, en:surfactant"
PRUNUS SERRULATA FLOWER WATER,,en:skin-conditioning
ISOAMYL ALLYLGLYCOLATE,67634-00-8,"en:masking, en:perfuming"
PHYLLOSTACHYS BAMBUSOIDES LEAF EXTRACT,,en:skin-conditioning
R-MUSSEL POLYPEPTIDE-1 R-MUSSEL OLIGOPEPTIDE-1 SH-POLYPEPTIDE-48,,"en:hair-conditioning, en:skin-conditioning"
CHLOROPHYLLIN-COPPER COMPLEX,11006-34-1,"en:antioxidant, en:cosmetic-colorant, en:deodorant"
TOLUENE DIISOCYANATE,91-08-7,en:209-544-5
ISOEICOSANE,93685-79-1,"en:emollient, en:skin-conditioning, en:solvent"
UNDECYLENIC ACID,112-38-9,"en:cleansing, en:emulsifying, en:preservative, en:surfactant"
LEUCONOSTOC/LUFFA CYLINDRICA STEM SAP FERMENT FILTRATE,,en:skin-conditioning
LACTOCOCCUS/GRAPE JUICE FERMENT FILTRATE,,en:humectant
DIISOTRIDECYL LAUROYL GLUTAMATE,,"en:emulsion-stabilising, en:humectant, en:surfactant"
ADAMANTANYLCARBOXAMIDO METHYLHYDROXYLBENZAMIDE,,"en:antioxidant, en:skin-protecting"
HYDROXYETHYL ACETOMONIUM PG-DIMETHICONE,,en:surfactant
TRONA,,"en:antioxidant, en:skin-protecting"
TIPA-ACRYLATES/ETHYLHEXYL ACRYLATE COPOLYMER,,en:film-forming
MELILOTUS OFFICINALIS LEAF EXTRACT,,en:skin-conditioning
SH-HEXAPEPTIDE-1,,en:skin-conditioning
LACTOBACILLUS/BRASSICA OLERACEA ACEPHALA LEAF FERMENT FILTRATE,,"en:emollient, en:humectant, en:skin-conditioning"
DISODIUM TETRAMETHYLHEXADECENYL SUCCINOYL CYSTEINE,,"en:antimicrobial, en:antiseborrhoeic, en:reducing, en:skin-conditioning, en:skin-protecting"
PROPYLENE GLYCOL DICOCOATE,68953-19-5,"en:emollient, en:emulsifying"
SILT EXTRACT,,en:not-reported
VALERIANA FAURIEI RHIZOME/ROOT EXTRACT,94167-13-2,en:skin-conditioning
POLYGLYCERYL-10 DECALINOLEATE,68900-96-9,en:emulsifying
CNIDIUM OFFICINALE CALLUS CULTURE EXTRACT,,en:skin-conditioning
SORBUS COMMIXTA BERRY EXTRACT,,en:skin-conditioning
HYDROLYZED BANANA FRUIT,,"en:astringent, en:skin-protecting"
CYSTOSEIRA COMPRESSA EXTRACT,,
AZELAIC ACID/POLYGLYCERYL-3 COPOLYMER,,en:hair-conditioning
ISOSTEARYL DIGLYCERYL SUCCINATE,,"en:antistatic, en:skin-conditioning"
GERANIUM CANTABRIGIENSE FLOWER/LEAF EXTRACT,,en:skin-conditioning
TEA-PEG-50 HYDROGENATED CASTOR OIL SUCCINATE,,en:emulsifying
CORYLUS AVELLANA BUD EXTRACT,84012-21-5,en:skin-conditioning
STEARYL ACETYL GLUTAMINATE,,"en:emollient, en:humectant, en:skin-conditioning"
TRIMETHYLSILYL TRIMETHYLSILOXY LACTATE,17596-96-2,en:skin-conditioning
ACRYLATES/VA CROSSPOLYMER,,en:film-forming
PLANTAGO MAJOR CALLUS CULTURE EXTRACT,84929-43-1,en:skin-conditioning
CHLOROPHENE,120-32-1,"en:antimicrobial, en:preservative"
TRIMETHYLPENTANEDIOL/ISOPHTHALIC ACID/TRIMELLITIC ANHYDRIDE COPOLYMER,,"en:film-forming, en:viscosity-controlling"
DECAPEPTIDE-34,,en:skin-conditioning
CASTANEA SATIVA PERICARP EXTRACT,84695-99-8,en:skin-conditioning
BIS-PEG-12 DIMETHICONE BEESWAX,,"en:hair-conditioning, en:skin-conditioning"
IMPERATA CYLINDRICA ROOT EXTRACT,,en:skin-conditioning
HEPARIN,9005-49-6,en:skin-conditioning
CUPRESSUS SEMPERVIRENS LEAF OIL,84696-07-1,"en:masking, en:perfuming, en:skin-conditioning"
ETHYLENE/CALCIUM ACRYLATE COPOLYMER,26445-96-5,"en:film-forming, en:opacifying"
KEPHALIS,36306-87-3,en:perfuming
FUCOSYLLACTOSE,41263-94-9,"en:skin-conditioning, en:skin-protecting"
COLLOIDAL DIAMOND/GOLD,,"en:skin-conditioning, en:skin-protecting"
POLYGLUTAMIC ACID,25513-46-6,en:skin-conditioning
PHENETHYL CINNAMATE,103-53-7,en:perfuming
ETHYL PERFLUOROBUTYL ETHER,163702-05-4,en:solvent
PICHIA PASTORIS/DIETHYLHEXYL SYRINGYLIDENEMALONATE/TOCOPHEROL FERMENT EXTRACT FILTRATE,,en:skin-conditioning
KLUYVEROMYCES/LACTOBACILLUS/NELUMBO NUCIFERA SEED OIL FERMENT FILTRATE,,"en:antioxidant, en:bleaching, en:skin-conditioning, en:skin-protecting"
COLEUS VETTIVEROIDES ROOT EXTRACT,,en:skin-conditioning
CHONDRUS CRISPUS POWDER,9000-07-1,en:abrasive
BENZALKONIUM CETYL PHOSPHATE,,"en:antimicrobial, en:deodorant"
PPG-7 DIACRYLATE,,en:nail-conditioning
COPERNICIA CERIFERA WAX,8015-86-9,en:depilatory
LACTOBACILLUS/RHODOPSEUDOMONAS/SACCHAROMYCES/MOLASSES/YEAST EXTRACT/MAGNESIUM CHLORIDE/CALCIUM CARBONATE FERMENT FILTRATE,,"en:emollient, en:skin-conditioning"
TROXERUTIN,7085-55-4 / 31511-30-5,en:skin-conditioning
HYDROLYZED HALYMENIA DURVILLEI POLYSACCHARIDE,,en:skin-protecting
ENTEROMORPHA PROLIFERA/SARGASSUM HORNERI EXTRACT,,"en:humectant, en:skin-conditioning, en:skin-protecting"
S-MU-CONOTOXIN CNIIIC,936616-33-0,en:skin-protecting
MAGNOLIA KOBUS PHYTOPLACENTA EXTRACT,,"en:antioxidant, en:hair-conditioning, en:humectant, en:skin-conditioning"
CI 77007,12769-96-9 / 1302-83-6 / 57455-37-5,en:cosmetic-colorant
LITSEA POLYANTHA LEAF EXTRACT,,en:skin-conditioning
LAUROYL SH-OLIGOPEPTIDE-76,,"en:antimicrobial, en:antiseborrhoeic"
CIBOTIUM BAROMETZ OIL,89997-67-1,en:skin-conditioning
ELAEIS OLEIFERA FRUIT OIL,8002-75-3,"en:emollient, en:hair-conditioning, en:skin-conditioning"
ETHYL PALMATE,,en:emollient
CASSIA ANGUSTIFOLIA LEAF EXTRACT,85187-05-9,en:skin-conditioning
2-AMINO-3-HYDROXYPYRIDINE,16867-03-1,en:hair-dyeing
SARSASAPOGENIN,126-19-2,en:skin-conditioning
HEMA/METHACRYLAMIDOPROPYLTRIMONIUM CHLORIDE/STYRENE COPOLYMER,,en:opacifying
PLANTAGO MAJOR CALLUS EXTRACT,,"en:skin-conditioning, en:skin-protecting"
CYMBOPOGON MARTINI MOTIA HERB EXTRACT,91722-54-2,en:perfuming
PEG/PPG-20/29 DIMETHICONE,,en:emulsifying
HEA SUCCINATE,50940-49-3,en:nail-conditioning
PPG-8-CETETH-1,9087-53-0 / 37311-01-6,"en:skin-conditioning, en:surfactant"
RICINOLEAMIDE DEA,40716-42-5,"en:antistatic, en:foam-boosting, en:surfactant, en:viscosity-controlling"
PRUNUS MUME ROOT EXTRACT,,en:skin-conditioning
HEDYCHIUM CORONARIUM ROOT EXTRACT,94334-08-4,"en:masking, en:skin-conditioning, en:tonic"
ENGELHARDTIA CHRYSOLEPIS LEAF EXTRACT,,en:skin-conditioning
XYLYL DIBUTYLBENZOFURANONE,181314-48-7,en:antioxidant
TRIBENZOIN,614-33-5,"en:masking, en:skin-conditioning"
COCOYL HYDROLYZED COLLAGEN,68952-15-8,"en:antistatic, en:cleansing, en:hair-conditioning, en:skin-conditioning, en:surfactant"
LITHOSPERMUM OFFICINALE EXTRACT,90063-58-4,"en:masking, en:skin-protecting"
RH-POLYPEPTIDE-104,,en:skin-protecting
HUMAN ANTI-PROPIONIBACTERIUM ACNES MONOCLONAL ANTIBODY,,en:antiseborrhoeic
CHRYSANTHEMUM COCCINEUM FLOWER EXTRACT,,en:skin-conditioning
HYDROGENATED HAZELNUT OIL,,"en:emollient, en:hair-conditioning, en:skin-conditioning"
PUNICA GRANATUM LEAF CELL EXTRACT,,"en:antioxidant, en:skin-protecting"
RESVERATRYL TRIS-ETHYLHEXANOATE,,"en:antioxidant, en:bleaching, en:skin-conditioning"
DIHYDROCITRONELLYLETHYL ETHER,22810-10-2,en:perfuming
HYDROXYECTOIN,165542-15-4,"en:buffering, en:emollient, en:skin-conditioning"
CHLOROSALICYLIC ACID,321-14-2,en:skin-conditioning
BASIC VIOLET 2,3248-91-7,en:hair-dyeing
CARTHAMUS TINCTORIUS SPROUT EXTRACT,,en:skin-conditioning
BIS(T-BUTYL BENZOXAZOLYL) THIOPHENE,7128-64-5,en:skin-conditioning
DIHEXYLDECYL SEBACATE,359073-59-9,"en:emollient, en:skin-conditioning, en:solvent"
CI 77288,1308-38-9,en:cosmetic-colorant
CITRUS TACHIBANA/RETICULATA PEEL OIL,,"en:emollient, en:skin-conditioning"
ISOBUTOXYPROPANOL,23436-19-3,"en:solvent, en:surfactant, en:viscosity-controlling"
FUSCOPORIA OBLIQUA CULTURE FILTRATE,,en:skin-conditioning
ACRYLATES/BEHENYL METHACRYLATE/DIMETHICONE METHACRYLATE COPOLYMER,,"en:anticaking, en:film-forming, en:skin-conditioning"
LENS ESCULENTA SEED EXTRACT,90063-40-4,en:skin-protecting
MELIA AZADIRACHTA BRANCH/LEAF EXTRACT,,en:skin-protecting
PRUNUS DOMESTICA FRUIT EXTRACT,90082-87-4,"en:moisturising, en:skin-conditioning, en:smoothing"
FUSANUS ACUMINATUS SEED OIL,1542150-44-6,"en:antioxidant, en:humectant, en:skin-conditioning, en:skin-protecting"
CAPRYLOYL PENTAPEPTIDE-26,,en:skin-conditioning
ALPINIA FORMOSANA LEAF/STEM WATER,,"en:antioxidant, en:skin-conditioning"
MAGNESIUM CHLORIDE,7786-30-3,en:viscosity-controlling
SODIUM HEXYLDIPHENYL ETHER SULFONATE,147732-60-3,"en:hydrotrope, en:surfactant"
PPG-30 ETHYLHEXETH-4 PHOSPHATE,,"en:emulsifying, en:surfactant"
SINAPYL ACETATE HYDROXYPHENETHYLAMIDE,,"en:antioxidant, en:skin-protecting"
M-AMINOPHENOL HCL,51-81-0,en:hair-dyeing
ROSA CANINA CALLUS EXTRACT,84696-47-9,en:skin-protecting
MOURERA FLUVIATILIS EXTRACT,,en:skin-conditioning
COCONUT OIL GLYCERETH-8 ESTERS,,"en:cleansing, en:surfactant"
BACILLUS/MONASCUS/APHANIZOMENON FLOS-AQUAE/RICE BRAN FERMENT FILTRATE,,"en:hair-conditioning, en:humectant, en:skin-conditioning, en:skin-protecting"
PEG-5 DEDM HYDANTOIN,68130-12-1,en:antimicrobial
CYCLODODECYL FORMATE,59052-82-3,en:perfuming
PPG-4-CETEARETH-12,,en:emulsifying
HYDROXYETHYLBUTYLAMINE LAURETH SULFATE,,"en:cleansing, en:surfactant"
LACTOBACILLUS/HIBISCUS SABDARIFFA FLOWER FERMENT FILTRATE,,en:skin-conditioning
1-HYDROXYETHYL 4‚5-DIAMINO PYRAZOLE SULFATE,155601-30-2,en:hair-dyeing
CARYOPTERIS INCANA CALLUS CULTURE EXTRACT,,en:skin-conditioning
ALPINIA GALANGA LEAF EXTRACT,84625-26-3,en:skin-conditioning
PEG-3 OLEAMIDE,26027-37-2,"en:emulsifying, en:surfactant"
POTASSIUM ACESULFAME,55589-62-3,en:masking
TETRABUTOXYPROPYL TRISILOXANE,,"en:emollient, en:hair-conditioning, en:skin-conditioning"
METHYL ISOBUTYL GLYCEROL FORMAL,5660-53-7,en:solvent
VALENCENE,4630-07-3,"en:skin-conditioning, en:skin-protecting"
ANANAS SATIVUS FRUIT,,en:skin-conditioning
PLUMBAGO ZEYLANICA FLOWER/ROOT EXTRACT,92202-07-8,en:antioxidant
TRANEXAMOYL DIPEPTIDE-23,,en:bleaching
POLYGLYCERYL-2 TETRAISOSTEARATE,121440-30-0,"en:emollient, en:emulsion-stabilising, en:skin-conditioning, en:surfactant"
PENTAERYTHRITOL/TEREPHTHALIC ACID COPOLYMER,,en:film-forming
HYDROLYZED EUTERPE OLERACEA FRUIT,,en:skin-conditioning
GLYCERYL HYDROXYSTEARATE,1323-42-8,"en:emollient, en:emulsifying"
CITRUS LIMON PEEL POWDER,92346-89-9 / 84929-31-7,"en:absorbent, en:viscosity-controlling"
LAMINARIA LONGISSIMA EXTRACT,,en:humectant
SACCHAROMYCES/MAGNESIUM FERMENT LYSATE FILTRATE,,en:skin-conditioning
SINE ADIPE COLOSTRUM,,en:skin-conditioning
TALLOL,8002-26-4,"en:emollient, en:solvent"
POTERIUM SANGUISORBA ROOT EXTRACT,84929-45-3,"en:emollient, en:skin-conditioning"
CANAVALIA GLADIATA LEAF/VINE EXTRACT,,en:skin-conditioning
QUATERNIUM-77,,"en:antistatic, en:hair-conditioning"
HEXENYL TIGLATE,84060-80-0,en:perfuming
DIHYDROXYLIGNOCEROYL PHYTOSPHINGOSINE,,"en:hair-conditioning, en:skin-conditioning"
2‚4-DIMETHYLBENZYLACETATE,62346-96-7,en:perfuming
DISODIUM TETRAMETHYLHEXADECENYLCYSTEINE FORMYLPROLINATE,2040469-40-5,en:skin-protecting
ROSMARINUS OFFICINALIS LEAF POWDER,84604-14-8,"en:masking, en:skin-conditioning"
5-ISOPROPYL-2-METHYLANISOLE,6379-73-3,en:perfuming
COFFEA ROBUSTA SEED EXTRACT,97593-13-0,en:skin-conditioning
BIS-(POLYGLYCERYL-3 OXYPHENYLPROPYL) DIMETHICONE,,"en:hair-conditioning, en:skin-conditioning"
HYDROLYZED MULBERRY FRUIT,90064-11-2,"en:astringent, en:skin-protecting"
HELIANTHUS ANNUUS HYBRID OIL,164250-88-8,en:emollient
ETHYLHEXYLGLYCERIN,70445-33-9,"en:deodorant, en:skin-conditioning"
2-METHOXYPHENOL/2‚2-DIMETHYL-3-METHYLENEBICYCLO-HEPTANE HYDROGENATED,70955-71-4,en:perfuming
PSEUDANABAENACEAE FERMENT FILTRATE,,en:skin-conditioning
DI-C16-18 ALKYL DIMER DILINOLEATE,,"en:emollient, en:skin-conditioning"
TRIACETYL RETINOYL PHYTOSPHINGOSINE,,en:skin-conditioning
4-FLUORO-6-METHYL-M-PHENYLENEDIAMINE SULFATE,173994-76-8 / 217311-43-8,en:hair-dyeing
LAURETH-3 CARBOXYLIC ACID,27306-90-7,"en:cleansing, en:emulsifying, en:surfactant"
PSEUDOZYMA EPICOLA/CAMELLIA SINENSIS SEED OIL FERMENT EXTRACT FILTRATE,,"en:hair-conditioning, en:humectant, en:skin-conditioning"
AVENA SATIVA LEAF EXTRACT,84012-26-0,en:astringent
ZIYU GLYCOSIDE III,84787-71-3,en:skin-conditioning
METHYLTRIETHOXYLANE,2031-67-6,en:smoothing
PEG-35 HYDROGENATED CASTOR OIL,61788-85-0,"en:emulsifying, en:surfactant"
LACTOBACILLUS/PUNICA GRANATUM FRUIT FERMENT EXTRACT,,"en:hair-conditioning, en:skin-conditioning"
PHENYL MERCURIC BROMIDE,1192-89-8,en:preservative
PENTAERYTHRITYL TETRAABIETATE,127-23-1,"en:emollient, en:viscosity-controlling"
BACKHOUSIA CITRIODORA LEAF EXTRACT,84775-80-4,"en:astringent, en:skin-conditioning"
SODIUM LAURYLGLUCOSIDES HYDROXYPROPYL PHOSPHATE,,"en:cleansing, en:emulsifying, en:foam-boosting, en:hydrotrope"
DIMETHYLCYCLOHEXYL METHYL KETONE,25304-14-7,en:perfuming
POLOXAMER 181,9003-11-6,"en:emulsifying, en:surfactant"
GERANIUM MACRORRHIZUM HERB EXTRACT,92347-05-2,en:perfuming
SODIUM LAUROYL HYDROXYPROPYL SULFONATE,,"en:cleansing, en:surfactant"
7-ETHYLBICYCLOOXAZOLIDINE,7747-35-5,en:preservative
PROPYLENE GLYCOL DICAPRYLATE,7384-98-7,"en:emollient, en:viscosity-controlling"
ACETYL TETRAPEPTIDE-2,,en:skin-conditioning
2-HEPTYLFURAN,3777-71-7,en:perfuming
SODIUM METHYL 2-SULFOPALMITATE,,"en:cleansing, en:surfactant"
APOCYNUM VENETUM LEAF/STEM EXTRACT,,"en:humectant, en:skin-conditioning"
IRAKUSA EKISU,,en:skin-conditioning
OXIDIZED GLUTATHIONE,27025-41-8,"en:emollient, en:skin-conditioning"
SODIUM OXIDIZED CELLULOSE,,"en:emollient, en:skin-conditioning"
DIISOAMYL MALATE,,"en:emollient, en:plasticiser, en:skin-conditioning, en:solvent"
ISOBUTYL METHYLAMINOBENZOATE,65505-24-0,en:perfuming
ETHYL STEARATE,111-61-5,"en:emollient, en:perfuming"
OENOTHERA BIENNIS FLOWER EXTRACT,90028-66-3,en:astringent
CAMELLIA JAPONICA PHYTOPLACENTA EXTRACT,,"en:antimicrobial, en:hair-conditioning, en:humectant, en:skin-conditioning"
ULTRAMARINES,1302-83-6 / 1317-97-1 / 1345-00-2 / 11118-33-5 / 12703-66-1 / 12769-96-9 / 57455-37-5,en:hair-dyeing
HYDROLYZED SALMON OVARY MEMBRANE EXTRACT,,en:skin-conditioning
P-MENTHANYL ACETATE,58985-18-5,en:perfuming
LARIX DECIDUA LEAF CELL EXTRACT,90046-19-8,"en:antioxidant, en:skin-protecting"
STYRENE/ACRYLATES COPOLYMER/POLYURETHANE,,"en:binding, en:film-forming, en:plasticiser"
POLYPERFLUOROPERHYDROPHENANTHRENE,159182-00-0,"en:film-forming, en:hair-fixing, en:skin-conditioning"
ISOSTEARAMIDOPROPYL ETHYLMORPHOLINIUM ETHOSULFATE,,"en:antistatic, en:hair-conditioning"
BUTYRIC ACID,107-92-6,en:masking
SORBETH-2 COCOATE,,"en:emulsifying, en:surfactant"
