inci_name,cas_no,function,substance
GINKGO BILOBA MERISTEM CELL,,antimicrobial; antioxidant; skin-conditioning,
ETHYL ETHYLTRIMETHYLCYCLOHEXENECARBOXYLATE,94333-50-3,perfuming,
PINUS PUMILA TWIG LEAF OIL,97676-05-6,perfuming,
SODIUM ZINC CETYL PHOSPHATE,,astringent; skin-conditioning; skin-protecting,
TERPINYL FORMATE,2153-26-6,perfuming,
SH-OLIGOPEPTIDE-71,,antiseborrhoeic; skin-protecting,
CITRUS SPECIES LEAF OIL,94266-47-4,perfuming,
ORIGANUM DICTAMNUS FLOWER/LEAF/STEM EXTRACT,,antimicrobial; antioxidant; astringent; flavouring,
ISOBUTYL ISOVALERATE,589-59-3,perfuming,
1‚5,13786-79-3 / 71735-79-0,perfuming,
CEDRENOL,28231-03-0,perfuming,
POTERIUM OFFICINALE LEAF EXTRACT,84787-71-3,astringent; tonic,
GRASS-HAY HERB EXTRACT,100209-32-3,perfuming,
MELALEUCA TERETIFOLIA BRANCH/LEAF OIL,,masking; perfuming,
CARYOPHYLLENE OXIDE,1139-30-6,perfuming,
KLUYVEROMYCES/LACTOBACILLUS/SAURURUS CHINENSIS OIL FERMENT FILTRATE,,antioxidant; astringent; bleaching; skin-conditioning,
CETRIMONIUM TOSYLATE,138-32-9,antimicrobial; antistatic; emulsifying; hair-conditioning; surfactant,
TRIDEC-2-ENENITRILE,22629-49-8,perfuming,
HOMONOPAL,33885-51-7,perfuming,
CHITOSAN BENZAMIDE,,antimicrobial; skin-protecting,
ISOPROPENYL-METHYLHEXENOL,58461-27-1,perfuming,
A-TERPINYL ACETATE,80-26-2,perfuming,
PRUNUS MUME PHYTOPLACENTA EXTRACT,,antimicrobial; antioxidant; hair-conditioning; skin-protecting,
OCTAHYDRO-TETRAMETHYL-METHANO-CYCLOPENTACYCLOPROPABENZENE-4-METHANOL ACETATE,59056-62-1,perfuming,
HYDROGENATED HORSE FAT,,antiseborrhoeic; hair-conditioning; skin-protecting; viscosity-controlling,
AMBERGRIS EXTRACT,84836-94-2,perfuming,
ISOPULEGYL ACETATE,57576-09-7,perfuming,
1-ACETONAPHTHONE,941-98-0,masking; perfuming,
2‚6-DIMETHYL-7-OCTEN-2-OL,18479-58-8,masking; perfuming,
LIPPIA ALBA LEAF/STEM OIL,8024-12-2,antioxidant; masking; perfuming,
ISOPROPYLBENZYL BUTYLNORBERBERINE IODIDE,,antidandruff; antimicrobial; hair-conditioning,
IRIS PALLIDA ROOT EXTRACT,90045-90-2,masking; perfuming; tonic,
FERULA ASSA FOETIDA ROOT EXTRACT,90028-70-9,perfuming; soothing; tonic,
OZONIZED PEG-10 OLEATE,,antimicrobial; cleansing; surfactant,
CROTAMITON,483-63-6,antimicrobial; solvent,
LAVANDULA ANGUSTIFOLIA ANGUSTIFOLIA HERB EXTRACT,84776-65-8,perfuming,
ISOCYCLOGERANIOL,68527-77-5,perfuming,
SPATHOLOBUS SUBERECTUS CALLUS EXTRACT,,antimicrobial; antioxidant; hair-conditioning; humectant; skin-conditioning,
STREPTOMYCES SUBRUTILUS FERMENT FILTRATE EXTRACT,,bleaching,
4-DIMETHYLMETHYLENECYCLOHEXYL-BUTAN-2-ONE,13720-12-2,perfuming,
TALLOWTRIMONIUM CHLORIDE,8030-78-2,antistatic; hair-conditioning; preservative; surfactant,
ISOPROPYL 3-METHYLTHIOBUTYRATE,34322-06-0,perfuming,
NONADECANE,629-92-5,perfuming,
RUBUS FRUTICOSUS FRUIT WATER,84787-69-9,masking; perfuming,
CAMELLIA OLEIFERA SEED EXTRACT,94333-93-4,astringent; tonic,
ISOAMYL OCTANOATE,2035-99-6,perfuming,
BETA-SANTALOL,77-42-9,perfuming,
ORCHIS MACULATA FLOWER/LEAF/STEM WATER,90082-23-8,masking; perfuming,
SILT,,absorbent; astringent; humectant,
DIBROMOPROPAMIDINE DIISETHIONATE,614-87-9,antimicrobial,
CINNAMYL ACETATE,103-54-8,perfuming,
