inci_name,cas_no,function,substance
Kluyveromyceslactobacilluslactococcusleuconostocsaccharomyceshydrolyzed Hibiscus Esculentus Seed Extract Ferment Filtrate,,skin-conditioning,kluyveromyces/lactobacillus/lactococcus/leuconostoc/saccharomyces/hydrolyzed hibiscus esculentus seed extract ferment filtrate
Octapeptide-21 Amide,,skin-conditioning,octapeptide-21 amide
Diisocetyl Adipate,57533-90-1 / 58262-41-2 / 59686-69-0,emollient; plasticiser; skin-conditioning; solvent,diisocetyl adipate
Ascophyllum Nodosum Powder,84775-78-0,skin-conditioning,ascophyllum nodosum powder
Pueraria Montana Root Extract,,skin-conditioning,pueraria montana root extract
Tilia Cordata Flower Water,84929-52-2,masking; skin-conditioning; tonic,tilia cordata flower water
Saccharomycessilicon Ferment,,skin-conditioning,saccharomyces/silicon ferment
Polyglyceryl-4 Sweet Almondate,,emulsifying; skin-conditioning,polyglyceryl-4 sweet almondate
Daidzein,486-66-8,skin-conditioning,Daidzein
Hydroxypropyl Dimethicone Isostearate,,emollient,hydroxypropyl dimethicone isostearate
C18-36 Acid Glycol Ester,94944-95-3,emollient; emulsifying; skin-conditioning; surfactant,c18-36 acid glycol ester
Prunus Serrulata Leaf Cell Extract,,masking; skin-conditioning,prunus serrulata leaf cell extract
Palmitoyl Hyaluronate,,emollient,palmitoyl hyaluronate
Biphenyl Azepanyl Methanone,1910069-14-5,skin-conditioning; skin-protecting,biphenyl azepanyl methanone
Argania Spinosa Kernel Extract,223747-87-3,skin-conditioning,argania spinosa kernel extract
Menyanthes Trifoliata Leaf Extract,84082-63-3,skin-conditioning,menyanthes trifoliata leaf extract
Scyllii Pellis Extract,225234-43-5,skin-conditioning,scyllii pellis extract
Ascorbyl Nicotinate,81489-64-7,humectant; skin-conditioning,Ascorbyl nicotinate
Methylsulfonylpiperidinylamino Dioxothiomorpholinomethyl Phenylindole,1120333-38-1,antioxidant; reducing; skin-protecting,"5-[(1,1-dioxo-1,4-thiazinan-4-yl)methyl]-N-(1-methylsulfonylpiperidin-4-yl)-2-phenyl-1H-indol-7-amine"
Vitis Labrusca Vine Sap,,humectant; skin-conditioning,vitis labrusca vine sap
Brassica Oleracea Capitata Cabbage Leaf Water,,skin-conditioning,brassica oleracea capitata (cabbage) leaf water
Sh-Polypeptide-98 Hexapeptide-40,,humectant; skin-conditioning,sh-polypeptide-98 hexapeptide-40
Polymethacryloyl Lysine,,skin-conditioning,polymethacryloyl lysine
Pentaerythrityl Tetrabenzoate,,emollient,pentaerythrityl tetrabenzoate
Resveratryl Acetate,411233-11-9,antioxidant; emollient; skin-conditioning,Resveratryl acetate
Hydroxylated Lecithin,8029-76-3,emulsifying; skin-conditioning; surfactant,hydroxylated lecithin
Lactobacillussoybean Extract Ferment Filtrate,,skin-conditioning,lactobacillus/soybean extract ferment filtrate
Ethyl Canolate,85049-35-0,skin-conditioning,ethyl canolate
Hydrogenated Tallow Acid,61790-38-3,cleansing; emollient; emulsifying; opacifying; surfactant,hydrogenated tallow acid
Polygonatum Odoratum Rhizome Powder,,skin-conditioning,polygonatum odoratum rhizome powder
Troloxoyl Decapeptide-18,,skin-conditioning,troloxoyl decapeptide-18
Cedrus Deodara Wood Extract,91771-47-0,skin-conditioning,cedrus deodara wood extract
Castanea Crenata Cupule Extract,,antioxidant; emollient; skin-conditioning; skin-protecting,castanea crenata cupule extract
